gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2011-06-03,Regular,2011,0,0,MIN,Away,Loss,0,74.0,23.0,10.0,196.0,6.0,1.0,15.0,71.0,29.0,0.41,52.0,21.0,0.4,19.0,8.0,0.42,10.0,8.0,0.8,11.0,22.0,33.0,44.59,0.79,0.51,0.46,28.95,61.11,11.71,8.33,1.39,2.38,1.04,57.0,58.16,102.79,113.9,-11.11,0.41,23.09,71.99,2.3,88.15,0.6,0,0,LAS,Home,Win,0,82.0,17.0,14.0,195.0,4.0,5.0,15.0,66.0,31.0,0.47,42.0,21.0,0.5,24.0,10.0,0.42,14.0,10.0,0.71,14.0,27.0,41.0,55.41,0.55,0.59,0.55,38.89,71.05,16.25,5.49,6.87,9.62,1.24,66.0,67.69,112.62,101.63,10.99,0.47,18.71,1.21,0.29,72.81,89.61,LAS
2011-06-04,Regular,2011,0,0,WAS,Away,Loss,0,73.0,18.0,9.0,195.0,12.0,1.0,22.0,65.0,28.0,0.43,54.0,24.0,0.44,11.0,4.0,0.36,16.0,13.0,0.81,7.0,16.0,23.0,42.59,0.64,0.53,0.46,23.33,66.67,11.11,16.86,1.41,2.5,1.12,48.25,49.49,102.59,125.07,-22.48,0.42,21.19,71.16,2.0,87.58,1.33,0,0,CON,Home,Win,0,89.0,19.0,15.0,197.0,5.0,3.0,16.0,56.0,32.0,0.57,40.0,24.0,0.6,16.0,8.0,0.5,21.0,17.0,0.81,8.0,23.0,31.0,57.41,0.59,0.73,0.64,33.33,76.67,18.69,6.87,4.12,5.56,1.59,68.38,69.42,122.3,100.32,21.98,0.51,23.53,1.27,0.33,72.77,88.65,CON
2011-06-04,Regular,2011,0,0,CHI,Away,Loss,0,57.0,12.0,17.0,194.0,7.0,6.0,20.0,57.0,20.0,0.35,42.0,13.0,0.31,15.0,7.0,0.47,15.0,10.0,0.67,6.0,30.0,36.0,48.0,0.6,0.47,0.41,18.18,71.43,21.09,9.62,8.24,12.0,1.0,35.12,36.21,78.3,89.29,-10.99,0.29,15.11,72.8,0.71,90.06,0.41,0,0,IND,Home,Win,0,65.0,13.0,10.0,194.0,12.0,5.0,14.0,70.0,21.0,0.3,50.0,14.0,0.28,20.0,7.0,0.35,24.0,16.0,0.67,12.0,27.0,39.0,52.0,0.62,0.43,0.35,28.57,81.82,11.04,16.33,6.81,11.9,0.93,48.75,50.26,88.47,77.58,10.89,0.31,15.77,1.3,1.2,73.47,90.89,IND
2011-06-04,Regular,2011,0,0,TUL,Away,Loss,0,73.0,13.0,28.0,196.0,10.0,3.0,20.0,61.0,23.0,0.38,52.0,19.0,0.37,9.0,4.0,0.44,27.0,23.0,0.85,17.0,23.0,40.0,63.49,0.57,0.55,0.41,47.22,85.19,27.76,12.41,3.72,6.98,1.2,39.38,40.18,90.57,115.38,-24.81,0.32,14.43,80.6,0.46,98.69,0.36,0,0,SAS,Home,Win,0,93.0,28.0,15.0,196.0,13.0,3.0,21.0,67.0,37.0,0.55,43.0,27.0,0.63,24.0,10.0,0.42,12.0,9.0,0.75,4.0,19.0,23.0,36.51,0.76,0.67,0.63,14.81,52.78,17.19,16.01,3.69,5.77,1.39,75.0,76.53,114.5,89.88,24.62,0.47,26.74,1.87,0.87,81.22,99.45,SAS
2011-06-04,Regular,2011,0,0,PHO,Away,Loss,0,71.0,11.0,17.0,195.0,12.0,4.0,20.0,67.0,27.0,0.4,53.0,22.0,0.42,14.0,5.0,0.36,13.0,12.0,0.92,8.0,20.0,28.0,42.42,0.41,0.51,0.44,22.86,64.52,18.95,15.11,5.04,7.14,1.06,38.88,39.88,89.4,98.21,-8.81,0.36,12.32,79.42,0.65,97.75,0.71,0,0,SEA,Home,Win,0,78.0,20.0,18.0,196.0,8.0,2.0,17.0,67.0,29.0,0.43,56.0,25.0,0.45,11.0,4.0,0.36,18.0,16.0,0.89,11.0,27.0,38.0,57.58,0.69,0.55,0.46,35.48,77.14,19.37,9.95,2.49,3.77,1.16,55.75,56.89,96.98,88.28,8.7,0.39,20.6,1.11,0.44,80.43,98.49,SEA
2011-06-05,Regular,2011,0,0,NYL,Away,Win,0,94.0,23.0,16.0,221.0,6.0,5.0,22.0,74.0,39.0,0.53,56.0,33.0,0.59,18.0,6.0,0.33,11.0,10.0,0.91,10.0,24.0,34.0,51.52,0.59,0.62,0.57,33.33,66.67,16.87,7.32,6.1,8.06,1.27,69.38,62.79,114.75,107.42,7.33,0.49,21.26,81.92,1.44,88.96,0.38,0,0,ATL,Home,Loss,0,88.0,22.0,14.0,221.0,8.0,4.0,17.0,76.0,33.0,0.43,62.0,29.0,0.47,14.0,4.0,0.29,28.0,18.0,0.64,12.0,20.0,32.0,48.48,0.67,0.54,0.46,33.33,66.67,13.68,9.53,4.76,7.14,1.16,59.0,53.39,104.82,111.97,-7.15,0.42,22.07,1.57,0.57,83.95,91.17,NYL
2011-06-05,Regular,2011,1,0,LAS,Away,Loss,1,69.0,16.0,17.0,194.0,3.0,0.0,19.0,62.0,23.0,0.37,43.0,16.0,0.37,19.0,7.0,0.37,18.0,16.0,0.89,5.0,23.0,28.0,38.89,0.7,0.52,0.43,14.71,60.53,19.56,3.75,0.0,0.0,1.11,30.5,31.44,86.19,107.42,-21.23,0.31,18.37,80.06,0.94,99.04,0.18,0,1,MIN,Home,Win,1,86.0,17.0,12.0,196.0,6.0,4.0,20.0,74.0,32.0,0.43,58.0,26.0,0.45,16.0,6.0,0.38,21.0,16.0,0.76,15.0,29.0,44.0,61.11,0.53,0.55,0.47,39.47,85.29,12.6,7.59,5.06,9.3,1.16,64.38,65.69,108.75,87.25,21.5,0.45,18.13,1.42,0.5,79.08,96.83,MIN
2011-06-07,Regular,2011,0,1,TUL,Away,Loss,2,65.0,9.0,11.0,194.0,7.0,5.0,24.0,68.0,23.0,0.34,48.0,19.0,0.4,20.0,4.0,0.2,18.0,15.0,0.83,7.0,28.0,35.0,44.3,0.39,0.45,0.37,17.07,73.68,12.66,8.98,6.41,8.77,0.96,33.25,34.28,83.35,96.18,-12.83,0.32,11.24,77.98,0.82,96.47,0.64,1,1,MIN,Home,Win,1,75.0,12.0,12.0,196.0,6.0,4.0,18.0,67.0,25.0,0.37,57.0,22.0,0.39,10.0,3.0,0.3,25.0,22.0,0.88,10.0,34.0,44.0,55.7,0.48,0.52,0.4,26.32,82.93,13.33,7.62,5.08,8.33,1.12,51.88,52.94,95.19,82.5,12.69,0.36,15.0,1.0,0.5,78.79,96.48,MIN
2011-06-09,Regular,2011,0,1,WAS,Away,Win,4,98.0,17.0,29.0,221.0,15.0,7.0,23.0,72.0,32.0,0.44,62.0,29.0,0.47,10.0,3.0,0.3,42.0,31.0,0.74,15.0,31.0,46.0,55.42,0.53,0.6,0.47,36.59,73.81,24.27,14.69,6.85,10.29,1.36,65.0,58.82,95.95,88.11,7.84,0.37,17.08,102.14,0.59,110.92,0.52,0,1,ATL,Home,Loss,3,90.0,18.0,23.0,221.0,17.0,4.0,28.0,79.0,35.0,0.44,68.0,32.0,0.47,11.0,3.0,0.27,28.0,17.0,0.61,11.0,26.0,37.0,44.58,0.51,0.53,0.46,26.19,63.41,20.12,17.14,4.03,6.45,1.14,52.75,47.74,90.73,98.79,-8.06,0.38,16.72,0.78,0.74,99.2,107.73,WAS
2011-06-09,Regular,2011,2,1,MIN,Away,Win,1,81.0,18.0,13.0,196.0,5.0,1.0,12.0,56.0,32.0,0.57,49.0,30.0,0.61,7.0,2.0,0.29,21.0,15.0,0.71,5.0,29.0,34.0,56.67,0.56,0.67,0.59,20.83,80.56,16.62,6.94,1.39,2.08,1.45,62.88,64.16,112.42,102.71,9.71,0.5,23.15,72.05,1.38,88.22,0.38,1,0,SEA,Home,Loss,4,74.0,13.0,11.0,195.0,7.0,3.0,21.0,73.0,30.0,0.41,48.0,22.0,0.46,25.0,8.0,0.32,8.0,6.0,0.75,7.0,19.0,26.0,43.33,0.43,0.49,0.47,19.44,79.17,12.57,9.36,4.01,6.12,1.01,39.0,40.0,98.92,108.27,-9.35,0.39,13.91,1.18,0.64,74.81,92.07,MIN
